"cluster_id","start_index","end_index","start_date","end_date","cluster_size","cluster_duration_trading_days","cluster_max_loss","cluster_max_excess","cluster_max_date","z_vol_at_cluster_max","t_scaled_at_cluster_max","rv21_lag_at_cluster_max"
88,4851,4851,2012-06-01,2012-06-01,1,1,0.0254996078640497,0.00129890059333525,2012-06-01,-0.144067170748857,0.272062844251208,0.00811650215457258
89,5114,5114,2013-06-20,2013-06-20,1,1,0.0250901629794527,0.000889455708738211,2013-06-20,0.0499462331778718,0.380722719783581,0.0089388957714762
90,5661,5662,2015-08-21,2015-08-24,2,2,0.0430191601010659,0.0188184528303514,2015-08-24,0.275932899774467,0.60713189009438,0.0100024500926728
91,5668,5668,2015-09-01,2015-09-01,1,1,0.0303020163626,0.00610130909188555,2015-09-01,1.33149326911248,0.609610822616032,0.0169103010096633
92,5686,5686,2015-09-28,2015-09-28,1,1,0.0254176144446436,0.00121690717392919,2015-09-28,0.906397657301922,0.617047620180985,0.0136871492986427
93,5756,5760,2016-01-07,2016-01-13,2,5,0.0252572194324854,0.00105651216177093,2016-01-13,0.632997322894658,0.647621121281348,0.0119466780585913
94,5873,5873,2016-06-24,2016-06-24,1,1,0.0365697131463527,0.0123690058756383,2016-06-24,-1.09450972430392,0.694307683772444,0.00505864011509289
95,5926,5926,2016-09-09,2016-09-09,1,1,0.0242258574591423,2.51501884278513e-05,2016-09-09,-2.1567957845354,0.716204921047029,0.00298219343313859
96,6279,6282,2018-02-05,2018-02-08,2,4,0.0427221790318999,0.0185214717611855,2018-02-05,-0.310572461090909,0.862048784404168,0.00747131143349992
97,6311,6311,2018-03-22,2018-03-22,1,1,0.0253146614013975,0.00111395413068304,2018-03-22,0.0738895350368174,0.875269757852974,0.0090460008140638
98,6451,6451,2018-10-10,2018-10-10,1,1,0.0321756155178292,0.00797490824711477,2018-10-10,-1.6093454372938,0.933111516691499,0.00391568597356912
99,6461,6461,2018-10-24,2018-10-24,1,1,0.0307671184885416,0.00656641121782719,2018-10-24,0.468569786248715,0.937243070894251,0.0110083942098365
